actor_id,actor
617,Jimmy Smits
618,Esai Morales
619,Edward James Olmos
620,Paul Newman
621,Jessica Tandy
622,Natasha Richardson
623,Shar-Ron Corley
624,Gabriel Casseus
625,Saul Stein
626,Sue Price
627,Chad Stahelski
628,Tina Cote
629,Earl White
630,Laura San Giacomo
631,Paul Rhys
632,Michael O'Keefe
633,O-Lan Jones
634,Marisa Tomei
635,Rena Owen
636,Temuera Morrison
637,Mamaengaroa Kerr-Bell
638,Dustin Hoffman
639,Morgan Freeman
640,Jean Reno
641,Natalie Portman
642,Alfred Molina
643,Uma Thurman
644,Kadeem Hardison
645,Bokeem Woodbine
646,Joe Don Baker
647,Linus Roache
648,Tom Wilkinson
649,Robert Carlyle
650,Rob Morrow
651,Isabelle Adjani
652,Daniel Auteuil
653,Jean-Hugues Anglade
654,Russell Crowe
655,Peter Falk
656,D.B. Sweeney
657,Sophia Loren
658,Marcello Mastroianni
659,Jean-Louis Trintignant
660,Frédérique Feder
661,Juliette Binoche
662,Zbigniew Zamachowski
663,Janusz Gajos
664,Matt McCoy
665,Darlanne Fluegel
666,Martin Neufeld
667,James Brolin
668,Al Franken
669,Vincent D'Onofrio
670,Jack Palance
671,Howard McGillin
672,Michelle Nicastro
673,Jeni Courtney
674,Eileen Colgan
675,Mick Lally
676,James Woods
677,Kurt Russell
678,James Spader
679,Jaye Davidson
680,Judge Reinhold
681,Wendy Crewson
682,Bob Gunton
683,Kerry Fox
684,Christopher Eccleston
685,Ewan McGregor
686,Dennis Haysbert
687,Mel Harris
688,Sab Shimono
689,Jack Thompson
690,John Polson
691,Matt Frewer
692,Valerie Mahaffey
693,Lawrence Dane
694,You Ge
695,Ben Niu
696,Lori Petty
697,Ice-T
698,Naomi Watts
699,Patrick Stewart
700,Jonathan Frakes
701,Brent Spiner
702,Clarence Williams III
703,Corbin Bernsen
704,Joe Torry
705,Willem Dafoe
706,Miranda Richardson
707,Rosemary Harris
708,Christopher Reeve
709,Linda Kozlowski
710,Brian Dennehy
711,Wallace Shawn
712,Phoebe Brand
713,George Gaynes
714,Peter Gallagher
715,Alison Elliott
716,Eddie Griffin
717,Joe Morton
718,Elijah Wood
719,Sandra Oh
720,Stephen Chang
721,Claudette Carracedo
722,Toni Collette
723,Rachel Griffiths
724,Schuyler Fisk
725,Bre Blair
726,Rachael Leigh Cook
727,Courteney Cox
728,Sean Young
729,Hugo Weaving
730,Guy Pearce
731,Terence Stamp
732,Emmanuelle Seigner
733,Dianne Wiest
734,Jennifer Tilly
735,Anne Archer
736,Tina Majorino
737,Alfre Woodard
738,David Patrick Kelly
739,Brandon Lee
740,Michael Wincott
741,Rochelle Davis
742,Robert Wuhl
743,Lolita Davidovich
744,Robin Wright
745,Gary Sinise
746,Omar Epps
747,Kristy Swanson
748,Michael Rapaport
749,Luna Lauren Velez
750,Jon Seda
751,Tomas Melly
752,Saul Rubinek
753,Rosie Perez
754,Jason Scott Lee
755,Cary Elwes
756,Lena Headey
757,Leni Riefenstahl
758,Marlene Dietrich
759,Arnold Fanck
760,Rowan Atkinson
761,Matthew Broderick
762,Niketa Calame-Harris
763,Ruocheng Ying
764,Cameron Diaz
765,Peter Riegert
766,James Garner
767,Campbell Scott
768,Priscilla Presley
769,George Kennedy
770,Michael Keaton
771,Janeane Garofalo
772,Macaulay Culkin
773,Edward Herrmann
774,John Larroquette
775,Sam Shepard
776,Nick Stahl
777,Ron Silver
778,Jamie Lee Curtis
779,Stephen Dorff
780,Reese Witherspoon
781,Jake Busey
782,Tura Satana
783,Haji
784,Lori Williams
785,Jada Pinkett Smith
786,Nick Upton
787,Deborah Collard
788,Frank Passingham
789,Raul Julia
790,Ming-Na Wen
791,Jason Priestley
792,Kimberly Williams-Paisley
793,Steve Alden
794,David Arquette
795,Eddie Bowz
796,Heather Medway
797,Ann Turkel
798,Frank Thomas
799,Ollie Johnston
800,Sylvia Roemer
801,Erika Eleniak
802,William McNamara
803,Michael Lerner
804,Blythe Danner
805,Frank Whaley
806,Sheryl Lee
807,James Andronica
808,Cuauhtemoc Rivas
809,A. Peter Bailey
810,Roscoe Lee Browne
811,John Henrik Clarke
812,Nicholas Turturro
813,Anthony DeSando
814,Libby Langdon
815,Luke Perry
816,James Rebhorn
817,Duane Martin
818,Tupac Shakur
819,Martin Lawrence
820,Daniel Day-Lewis
821,Brendan Fraser
822,Charles Gitonga Maina
823,Yolanda Vazquez
824,Emilio Estevez
825,Madeleine Stowe
826,Taylor Nichols
827,Chris Eigeman
828,Tushka Bergen
829,Diedrich Bader
830,Jim Varney
831,Jon Tenney
832,Joey Travolta
833,Docs Keepin Time
834,Suzy Amis
835,Mary McDonnell
